Relationship Name,Physical Address Line 1,Physical Zip/Postal Code,Physical City,Physical State/Province,TIB Investments Officer
Watermark Bank,"6501 N. Classen Boulevard, Suite 300",73116,Oklahoma City,OK,Michael Ghalibaf
The Millyard Bank,57 Northeastern Blvd,3062,Nashua,NH,Mikell Tomlinson
Community Bank of the Carolinas,312 Jonestown Road,27104,Winston-Salem,NC,Bruce Taylor
Tandem Bank,2356 Main St,30084,Tucker,GA,Mikell Tomlinson
Mountain Pacific Bank,3732 Broadway,98201,Everett,WA,Michael Boydston
Triad Business Bank,1501 Highwoods Blvd,27410,Greensboro,NC,Bruce Taylor
Gulf Capital Bank,1 Riverway,77056,Houston,TX,Bruce Taylor
Scottsdale Community Bank,8767 E Via De Ventura,85258,Scottsdale,AZ,Michael Ghalibaf
Gainey Business Bank,8501 N Scottsdale Rd,85253,Scottsdale,AZ,Michael Ghalibaf
Legacy Bank,41391 Kalmia St,92562,Murrieta,CA,Michael Ghalibaf
"RockPointBank, National Association",401 Chestnut St,37402,Chattanooga,TN,Bruce Taylor
Waterfall Bank,500 Mclennan St,33756,Clearwater,FL,Eric Allen
Climate First Bank,182 37th Ave N,33704,Saint Petersburg,FL,Eric Allen
Metro Phoenix Bank,4686 E Van Buren St,85008,Phoenix,AZ,Todd Wentz
Moultrie Bank & Trust,600 Veterans Parkway North,31788,Moultrie,GA,Mikell Tomlinson
"American Women's Bank, NA (IO)",3556 Gettysburg Road,17011,Camp Hill,PA,Bruce Taylor
Texas Traditions Bank,"24285 Katy Freeway, Suite 100",77494,Katy,TX,Todd Wentz
Walden Mutual Bank,66 N Main St,3301,Concord,NH,Bruce Taylor
Integro Bank,16215 N 28th Ave,85053,Phoenix,AZ,Michael Ghalibaf
Home Federal Bank,222 Florida St,71105,Shreveport,LA,Mikell Tomlinson
"Fifth District Bancorp, Inc.",4000 General Degaulle Dr,70114,New Orleans,LA,Michael Boydston & Mikell Tomlinson
Wake Forest Federal Savings and Loan Association,302 Brooks St,27587,Wake Forest,NC,Bruce Taylor
Pioneer Bank,3000 N Main St,88201,Roswell,NM,Mikell Tomlinson
"Belmont Savings Bank, SSB",210 Park St,28012,Belmont,NC,Bruce Taylor
"CFBank, National Association",4960 E Dublin Granville Rd,43081,Columbus,OH,Michael Ghalibaf
Bank of Grandin,403 W 5th St,63943,Grandin,MO,Bruce Taylor
FIDELITY BANK,353 Carondelet St,70130,New Orleans,LA,Michael Boydston
Century Bank,100 S Federal Pl,87501,Santa Fe,NM,Eric Allen
First Palmetto Bank,407 E Dekalb St,29020,Camden,SC,Todd Wentz
